year,month,spending_amount,maximum_temperature,precipitation,humidity,number_of_days
2003,1,331,9.3,101,46,0
2003,2,268,9.9,53.5,52,0
2003,3,365,12.7,159.5,49,0
2003,4,492,19.2,121,61,3
2003,5,632,22.4,172.5,65,7
2003,6,730,26.6,85,69,21
2003,7,821,26,187.5,75,21
2003,8,1057,29.5,370,73,26
2003,9,724,28.1,150,66,23
2003,10,430,21.4,171.5,59,3
2003,11,363,17.4,229.5,67,0
2003,12,415,13.2,53,50,0
2004,1,351,10.1,3.5,43,0
2004,2,322,12.9,20,45,0
2004,3,367,14,129.5,53,0
2004,4,508,21.3,69.5,51,3
2004,5,667,23.7,149,67,13
2004,6,772,27.5,112.5,66,24
2004,7,1148,33.1,23.5,62,31
2004,8,1080,31,79.5,65,28
2004,9,653,28.7,195,68,26
2004,10,434,20.7,780,69,3
2004,11,358,19,108.5,60,0
2004,12,388,13.4,79.5,49,0
2005,1,323,10,77,47,0
2005,2,283,9.9,48,45,0
2005,3,357,13.1,71,49,0
2005,4,543,19.6,81,54,2
2005,5,667,21.9,180.5,58,6
2005,6,812,26.7,170.5,70,22
2005,7,1037,29.1,247.5,71,27
2005,8,1179,31.8,189.5,68,31
2005,9,739,28.2,177.5,67,24
2005,10,453,22.3,201.5,69,7
2005,11,315,17,34.5,52,0
2005,12,359,10.2,3.5,39,0
2006,1,322,8.5,67,44,0
2006,2,279,10.5,113,53,0
2006,3,373,14,79.5,48,0
2006,4,457,17.5,123,57,0
2006,5,602,22.7,99,65,7
2006,6,748,25.4,138.5,71,15
2006,7,973,28.6,165,74,26
2006,8,1193,31.1,126,69,31
2006,9,654,27.1,175.5,68,20
2006,10,493,22.9,318,66,9
2006,11,336,17.9,135,59,0
2006,12,392,12.5,200.5,52,0
2007,1,347,10.9,42,45,0
2007,2,292,12.8,57,45,0
2007,3,387,15,77,44,0
2007,4,466,17.9,134,59,1
2007,5,652,24,115.5,58,13
2007,6,768,27.1,80,66,23
2007,7,908,27.4,253,74,26
2007,8,1279,33,9.5,66,31
2007,9,784,28.5,319.5,71,25
2007,10,469,22.2,135.5,63,4
2007,11,324,16.6,37,56,0
2007,12,405,12.6,72,54,0
2008,1,346,9.4,17.5,45,0
2008,2,288,9.6,57,41,0
2008,3,404,14.9,119.5,52,0
2008,4,501,18.4,240,59,1
2008,5,689,22,255,65,8
2008,6,727,24.6,225.5,72,15
2008,7,1182,30.9,48,71,31
2008,8,1190,30.7,387.5,74,28
2008,9,691,27.7,158.5,69,25
2008,10,477,22.6,204.5,66,1
2008,11,355,16.4,74,56,0
2008,12,414,13.7,70.5,53,0
2009,1,351,10.2,142,48,0
2009,2,303,11.5,46.5,50,0
2009,3,386,13.7,98.5,48,0
2009,4,569,20.2,162.5,54,1
2009,5,768,23.6,242,64,9
2009,6,819,25.8,226,72,16
2009,7,1072,29.3,78.5,72,28
2009,8,1215,30.1,242,69,30
2009,9,723,26.5,53,64,21
2009,10,495,22.3,276.5,64,5
2009,11,402,17,151.5,63,1
2009,12,440,12.4,82.5,51,0
2010,1,362,11,9,41,0
2010,2,305,9.9,115,60,0
2010,3,383,13.2,143.5,61,0
2010,4,464,16.6,214,62,1
2010,5,752,23,114,60,8
2010,6,841,27.5,108,67,24
2010,7,1211,31.6,70,70,31
2010,8,1451,33.5,27,67,31
2010,9,864,29,428,68,22
2010,10,504,21.8,211,68,6
2010,11,351,17.2,94.5,56,0
2010,12,423,13.7,145.5,50,0
2011,1,346,9.1,3.5,36,0
2011,2,289,11.2,151,52,0
2011,3,329,12.3,74,47,0
2011,4,462,18.9,96,50,0
2011,5,672,22.2,213.5,63,8
2011,6,791,26,116.5,71,15
2011,7,1265,30.9,54.5,67,29
2011,8,1241,31.2,244,71,29
2011,9,767,28.8,235,68,23
2011,10,516,23,119.5,61,9
2011,11,393,18.3,112.5,58,0
2011,12,423,11.1,59.5,48,0
2012,1,339,8.3,50,43,0
2012,2,274,9.1,94,49,0
2012,3,385,12.5,144.5,59,0
2012,4,524,18.5,118.5,63,1
2012,5,671,23.6,231,65,12
2012,6,798,24.8,185,73,15
2012,7,1165,30.1,130,75,27
2012,8,1332,33.1,25,69,31
2012,9,849,29.8,214.5,73,27
2012,10,515,23,154.5,65,9
2012,11,326,16.3,154,58,0
2012,12,414,11.2,69,52,0
